name,standardizedNames
Ae._Acartomyia_mariae,Aedes_Acartomyia_mariae
Ae._Acartomyia_phoeniciae,Aedes_Acartomyia_phoeniciae
Ae._Acartomyia_zammitii,Aedes_Acartomyia_zammitii
Ae._Aedes_cinereus,Aedes_Aedes_cinereus
Ae._Aedes_esoensis,Aedes_Aedes_esoensis
Ae._Aedes_geminus,Aedes_Aedes_geminus
Ae._Aedes_rossicus,Aedes_Aedes_rossicus
Ae._Aedes_yamadai,Aedes_Aedes_yamadai
Ae._Aedimorphus_centropunctatus,Aedes_Aedimorphus_centropunctatus
Ae._Aedimorphus_cumminsii,Aedes_Aedimorphus_cumminsii
Ae._Aedimorphus_dalzieli,Aedes_Aedimorphus_dalzieli
Ae._Aedimorphus_dentatus,Aedes_Aedimorphus_dentatus
Ae._Aedimorphus_fowleri,Aedes_Aedimorphus_fowleri
Ae._Aedimorphus_hirsutus,Aedes_Aedimorphus_hirsutus
Ae._Aedimorphus_mediolineatus,Aedes_Aedimorphus_mediolineatus
Ae._Aedimorphus_ochraceus,Aedes_Aedimorphus_ochraceus
Ae._Aedimorphus_pallidostriatus,Aedes_Aedimorphus_pallidostriatus
Ae._Aedimorphus_vexans,Aedes_Aedimorphus_vexans
Ae._Borichinda_cavernicola,Aedes_Borichinda_cavernicola
Ae._Bothaella_helenae,Aedes_Bothaella_helenae
Ae._Bothaella_kleini,Aedes_Bothaella_kleini
Ae._Bothaella_manhi,Aedes_Bothaella_manhi
Ae._Bruceharrisonius_aureostriatus,Aedes_Bruceharrisonius_aureostriatus
Ae._Bruceharrisonius_greenii,Aedes_Bruceharrisonius_greenii
Ae._Polyleptiomyia_albocephalus,Aedes_Polyleptiomyia_albocephalus
Ae._Catageiomyia_argenteopunctatus,Aedes_Catageiomyia_argenteopunctatus
Ae._Catageiomyia_tarsalis,Aedes_Catageiomyia_tarsalis
Ae._Cornetius_cozi,Aedes_Cornetius_cozi
Ae._Collessius_elsiae,Aedes_Collessius_elsiae
Ae._Collessius_hatorii,Aedes_Collessius_hatorii
Ae._Collessius_pseudotaeniatus,Aedes_Collessius_pseudotaeniatus
Ae._Collessius_tonkinensis,Aedes_Collessius_tonkinensis
Ae._Dahliana_geniculatus,Aedes_Dahliana_geniculatus
Ae._Dobrotworskyius_alboannulatus,Aedes_Dobrotworskyius_alboannulatus
Ae._Dobrotworskyius_rubrithorax,Aedes_Dobrotworskyius_rubrithorax
Ae._Diceromyia_furcifer,Aedes_Diceromyia_furcifer
Ae._Diceromyia_taylori,Aedes_Diceromyia_taylori
Ae._Danielsia_albotaeniatus,Aedes_Danielsia_albotaeniatus
Ae._Downsiomyia_albolateralis,Aedes_Downsiomyia_albolateralis
Ae._Downsiomyia_nipponicus,Aedes_Downsiomyia_nipponicus
Ae._Downsiomyia_nishikawai,Aedes_Downsiomyia_nishikawai
Ae._Downsiomyia_niveoides,Aedes_Downsiomyia_niveoides
Ae._Downsiomyia_novoniveus,Aedes_Downsiomyia_novoniveus
Ae._Downsiomyia_omorii,Aedes_Downsiomyia_omorii
Ae._Edwardsaedes_bekkui,Aedes_Edwardsaedes_bekkui
Ae._Fredwardsius_vittatus,Aedes_Fredwardsius_vittatus
Ae._Georgecraigius_atropalpus,Aedes_Georgecraigius_atropalpus
Ae._Georgecraigius_epactius,Aedes_Georgecraigius_epactius
Ae._Geoskusea_baisasi,Aedes_Geoskusea_baisasi
Ae._Gymnometopa_mediovittatus,Aedes_Gymnometopa_mediovittatus
Ae._Halaedes_ashworthi,Aedes_Halaedes_ashworthi
Ae._Halaedes_australis,Aedes_Halaedes_australis
Ae._Halaedes_wardangensis,Aedes_Halaedes_wardangensis
Ae._Himalaius_gilli,Aedes_Himalaius_gilli
Ae._Hulecoeteomyia_chrysolineatus,Aedes_Hulecoeteomyia_chrysolineatus
Ae._Hulecoeteomyia_formosensis,Aedes_Hulecoeteomyia_formosensis
Ae._Hulecoeteomyia_harveyi,Aedes_Hulecoeteomyia_harveyi
Ae._Hulecoeteomyia_japonicus,Aedes_Hulecoeteomyia_japonicus
Ae._Hulecoeteomyia_koreicus,Aedes_Hulecoeteomyia_koreicus
Ae._Howardina_bahamensis,Aedes_Howardina_bahamensis
Ae._Howardina_fulvithorax,Aedes_Howardina_fulvithorax
Ae._Jarnellius_deserticola,Aedes_Jarnellius_deserticola
Ae._Jarnellius_monticola,Aedes_Jarnellius_monticola
Ae._Jarnellius_sierrensis,Aedes_Jarnellius_sierrensis
Ae._Jarnellius_varipalpus,Aedes_Jarnellius_varipalpus
Ae._Kenknightia_dissimilis,Aedes_Kenknightia_dissimilis
Ae._Kompia_purpureipes,Aedes_Kompia_purpureipes
Ae._Lewnielsenius_muelleri,Aedes_Lewnielsenius_muelleri
Ae._Lorrainea_amesii,Aedes_Lorrainea_amesii
Ae._Lorrainea_fumidus,Aedes_Lorrainea_fumidus
Ae._Luius_fengi,Aedes_Luius_fengi
Ae._Macleaya_macmillani,Aedes_Macleaya_macmillani
Ae._Macleaya_tremulus,Aedes_Macleaya_tremulus
Ae._Macleaya_wattensis,Aedes_Macleaya_wattensis
Ae._Mucidus_alternans,Aedes_MucidusMucidus_alternans
Ae._Mucidus_sudanensis,Aedes_MucidusMucidus_sudanensis
Ae._Nyctomyia_pholeocola,Aedes_Nyctomyia_pholeocola
Ae._Neomelaniconion_albiradius,Aedes_Neomelaniconion_albiradius
Ae._Neomelaniconion_belleci,Aedes_Neomelaniconion_belleci
Ae._Neomelaniconion_circumluteolus,Aedes_Neomelaniconion_circumluteolus
Ae._Neomelaniconion_fontenillei,Aedes_Neomelaniconion_fontenillei
Ae._Neomelaniconion_lineatopennis,Aedes_Neomelaniconion_lineatopennis
Ae._Neomelaniconion_mcintoshi,Aedes_Neomelaniconion_mcintoshi
Ae._Neomelaniconion_nigropterum,Aedes_Neomelaniconion_nigropterus
Ae._Neomelaniconion_palpale,Aedes_Neomelaniconion_palpalis
Ae._Neomelaniconion_sylvaticum,Aedes_Neomelaniconion_sylvaticus
Ae._Ochlerotatus_abserratus,Aedes_Ochlerotatus_abserratus
Ae._Ochlerotatus_albifasciatus,Aedes_Ochlerotatus_albifasciatus
Ae._Ochlerotatus_aloponotum,Aedes_Ochlerotatus_aloponotum
Ae._Ochlerotatus_angustivittatus,Aedes_OchlerotatusOchlerotatus_angustivittatus
Ae._Ochlerotatus_annulipes,Aedes_Ochlerotatus_annulipes
Ae._Ochlerotatus_atlanticus,Aedes_OchlerotatusProtoculex_atlanticus
Ae._Ochlerotatus_aurifer,Aedes_Ochlerotatus_aurifer
Ae._Ochlerotatus_bancroftianus,Aedes_OchlerotatusPseudoskusea_bancroftianus
Ae._Ochlerotatus_behningi,Aedes_Ochlerotatus_behningi
Ae._Ochlerotatus_bicristatus,Aedes_OchlerotatusRusticoidus_bicristatus
Ae._Ochlerotatus_bimaculatus,Aedes_OchlerotatusChrysoconops_bimaculatus
Ae._Ochlerotatus_brelandi,Aedes_OchlerotatusProtomacleayaSA_brelandi
Ae._Ochlerotatus_burgeri,Aedes_OchlerotatusProtomacleayaSA_burgeri
Ae._Ochlerotatus_campestris,Aedes_Ochlerotatus_campestris
Ae._Ochlerotatus_camptorhynchus,Aedes_Ochlerotatus_camptorhynchus
Ae._Ochlerotatus_canadensis,Aedes_OchlerotatusCulicada_canadensis
Ae._Ochlerotatus_cantans,Aedes_Ochlerotatus_cantans
Ae._Ochlerotatus_cantator,Aedes_Ochlerotatus_cantator
Ae._Ochlerotatus_caspius,Aedes_Ochlerotatus_caspius
Ae._Ochlerotatus_cataphylla,Aedes_Ochlerotatus_cataphylla
Ae._Ochlerotatus_churchillensis,Aedes_Ochlerotatus_churchillensis
Ae._Ochlerotatus_coluzzii,Aedes_Ochlerotatus_coluzzii
Ae._Ochlerotatus_communis,Aedes_Ochlerotatus_communis
Ae._Ochlerotatus_crinifer,Aedes_OchlerotatusOchlerotatus_crinifer
Ae._Ochlerotatus_cyprius,Aedes_Ochlerotatus_cyprius
