sn,ClusterID,txid,wd
1,3,1548035,acartomyia
2,6,149531,aedes
3,13,53540,aedimorphus
4,3,2575618,dahliana
5,4,53542,finlaya
6,16,53542,finlaya
7,6,53541,stegomyia
8,12,53541,stegomyia
9,3,124916,armigeres
10,14,124916,armigeres
11,5,317799,heizmannia
12,7,317799,heizmannia
13,10,317799,heizmannia
14,12,317799,heizmannia
15,8,1285601,chrysoconops
16,5,53545,ochlerotatus
17,7,53545,ochlerotatus
18,10,53545,ochlerotatus
19,13,53545,ochlerotatus
20,75,53545,ochlerotatus
21,80,53545,ochlerotatus
22,3,190767,rusticoidus
23,4,767021,ochlerotatus_incertaeSedis
24,5,1245386,phagomyia
25,10,7182,psorophora
26,4,1608558,tanakaius
27,3,317805,verrallina
28,4,317805,verrallina
29,5,317805,verrallina
