taxa,id,rank
acartomyia,1548035,genus
aedes,149531,subgenus
aedimorphus,53540,subgenus
albuginosus,300144,subgenus
aztecaedes,346054,subgenus
bothaella,346052,subgenus
bruceharrisonius,1245277,subgenus
cancraedes,300146,subgenus
coetzeemyia,2339219,subgenus
dahliana,2575618,subgenus
danielsia,1245381,subgenus
diceromyia,53539,subgenus
dobrotworskyius,1806171,subgenus
downsiomyia,1245382,subgenus
edwardsaedes,300148,subgenus
finlaya,53542,subgenus
fredwardsius,300149,subgenus
georgecraigius,1866276,subgenus
himalaius,1245383,subgenus
howardina,190766,subgenus
hulecoeteomyia,1245384,subgenus
lewnielsenius,3014974,subgenus
lorrainea,300153,subgenus
luius,1245385,subgenus
macleaya,346061,subgenus
mucidus,53543,subgenus
neomelaniconion,53544,subgenus
paraedes,300154,subgenus
rampamyia,1919242,subgenus
scutomyia,300155,subgenus
skusea,53547,subgenus
stegomyia,53541,subgenus
udaya,1245387,subgenus
zavortinkius,346066,subgenus
aedes_incertaeSedis,1806188,subgenus
armigeres,124916,genus
borichinda,425230,genus
catageiomyia,2067443,genus
collessius,1245380,genus
eretmapodites,317801,genus
gilesius,2773402,genus
haemagogus,7180,genus
heizmannia,317799,genus
nyctomyia,1367702,genus
chrysoconops,1285601,subgenus
geoskusea,346056,subgenus
gymnometopa,346057,subgenus
halaedes,71821,subgenus
juppius,1289136,subgenus
kenknightia,346058,subgenus
kompia,346059,subgenus
ochlerotatus,53545,subgenus
protoculex,1379452,subgenus
protomacleaya,119225,subgenus
pseudoskusea,346065,subgenus
rhinoskusea,345925,subgenus
rusticoidus,190767,subgenus
ochlerotatus_incertaeSedis,767021,subgenus
opifex,317800,genus
phagomyia,1245386,genus
psorophora,7182,genus
tanakaius,1608558,genus
verrallina,317805,genus
zeugnomyia,1424509,genus
